exp	round_num	agentid	currname	saidbefore	heardbefore	denovo	saidsofar	heardsofar
CB2015-55	19	290	mary	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'sophia', 'lisa', 'lisa']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary']
CB2015-55	20	290	lisa	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'sophia', 'lisa', 'lisa', 'mary']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa']
CB2015-55	21	290	julia	0	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'sophia', 'lisa', 'lisa', 'mary', 'lisa']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'julia']
CB2015-55	22	290	mary	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'sophia', 'lisa', 'lisa', 'mary', 'lisa', 'julia']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'julia', 'lisa']
CB2015-55	19	285	jane	0	1	0	['na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na', 'na']	['na', 'na', 'rachel', 'jeannine', 'marilyn', 'jennifer', 'sarah', 'sarah', 'jane', 'mary', 'jennifer', 'sarah', 'sarah', 'sarah', 'mary', 'jane', 'jane', 'jane', 'jane']
CB2015-55	1	291	jane	0	1	0	['na']	['jane']
CB2015-55	24	291	na	1	0	0	['na', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane']	['jane', 'jennifer', 'jane', 'susan', 'jennifer', 'jane', 'rachel', 'jane', 'jane', 'rachel', 'jane', 'julia', 'jane', 'lisa', 'mary', 'julia', 'jane', 'jane', 'mary', 'jane', 'jane', 'jane', 'jane', 'jane']
CB2015-55	25	291	jane	1	1	0	['na', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'jane', 'na']	['jane', 'jennifer', 'jane', 'susan', 'jennifer', 'jane', 'rachel', 'jane', 'jane', 'rachel', 'jane', 'julia', 'jane', 'lisa', 'mary', 'julia', 'jane', 'jane', 'mary', 'jane', 'jane', 'jane', 'jane', 'jane', 'mary']
CB2015-55	3	294	susan	0	0	1	['jane', 'jane', 'jane']	['na', 'ktee', 'jane']
CB2015-55	4	294	jane	1	1	0	['jane', 'jane', 'jane', 'susan']	['na', 'ktee', 'jane', 'jane']
CB2015-55	6	294	rachel	0	1	0	['jane', 'jane', 'jane', 'susan', 'jane', 'jane']	['na', 'ktee', 'jane', 'jane', 'rachel', 'rachel']
