NETWORK_SIZE,CONFED_PROP,PRIOR,UPDATE_SCALAR,FIRST_TIPPED
24,0.4,0.9,0.17,13
24,0.4,0.9,0.22,13
24,0.4,0.9,0.27,8
24,0.4,0.9,0.32,7
24,0.4,0.9,0.37,9
24,0.4,0.9,0.42,9
24,0.4,0.9,0.47,3
24,0.4,0.9,0.52,7
24,0.4,0.9,0.57,5
24,0.45,0.6,0.02,1000
24,0.45,0.6,0.07,16
24,0.45,0.6,0.12,5
24,0.45,0.6,0.17,5
24,0.45,0.6,0.22,1
24,0.45,0.6,0.27,3
24,0.45,0.6,0.32,3
24,0.45,0.6,0.37,1
24,0.45,0.6,0.42,1
24,0.45,0.6,0.47,2
24,0.45,0.6,0.52,2
24,0.45,0.6,0.57,1
24,0.45,0.65,0.02,1000
24,0.45,0.65,0.07,12
24,0.45,0.65,0.12,9
24,0.45,0.65,0.17,8
24,0.45,0.65,0.22,4
24,0.45,0.65,0.27,1
24,0.45,0.65,0.32,3
24,0.45,0.65,0.37,1
24,0.45,0.65,0.42,4
24,0.45,0.65,0.47,1
24,0.45,0.65,0.52,2
24,0.45,0.65,0.57,1
24,0.45,0.7,0.02,1000
24,0.45,0.7,0.07,25
24,0.45,0.7,0.12,20
24,0.45,0.7,0.17,7
24,0.45,0.7,0.22,4
24,0.45,0.7,0.27,5
24,0.45,0.7,0.32,4
24,0.45,0.7,0.37,1
24,0.45,0.7,0.42,1
24,0.45,0.7,0.47,1
24,0.45,0.7,0.52,1
24,0.45,0.7,0.57,1
24,0.45,0.75,0.02,1000
24,0.45,0.75,0.07,30
24,0.45,0.75,0.12,17
24,0.45,0.75,0.17,8
24,0.45,0.75,0.22,7
24,0.45,0.75,0.27,9
24,0.45,0.75,0.32,6
24,0.45,0.75,0.37,3
24,0.45,0.75,0.42,4
24,0.45,0.75,0.47,1
24,0.45,0.75,0.52,1
24,0.45,0.75,0.57,1
24,0.45,0.8,0.02,1000
24,0.45,0.8,0.07,36
24,0.45,0.8,0.12,15
24,0.45,0.8,0.17,14
24,0.45,0.8,0.22,8
24,0.45,0.8,0.27,7
24,0.45,0.8,0.32,6
24,0.45,0.8,0.37,4
24,0.45,0.8,0.42,7
24,0.45,0.8,0.47,3
24,0.45,0.8,0.52,1
24,0.45,0.8,0.57,1
24,0.45,0.85,0.02,1000
24,0.45,0.85,0.07,34
24,0.45,0.85,0.12,16
24,0.45,0.85,0.17,12
24,0.45,0.85,0.22,10
24,0.45,0.85,0.27,6
24,0.45,0.85,0.32,6
24,0.45,0.85,0.37,7
24,0.45,0.85,0.42,5
24,0.45,0.85,0.47,3
24,0.45,0.85,0.52,4
24,0.45,0.85,0.57,4
24,0.45,0.9,0.02,1000
24,0.45,0.9,0.07,41
24,0.45,0.9,0.12,17
24,0.45,0.9,0.17,13
24,0.45,0.9,0.22,13
24,0.45,0.9,0.27,6
24,0.45,0.9,0.32,8
24,0.45,0.9,0.37,5
24,0.45,0.9,0.42,6
24,0.45,0.9,0.47,3
24,0.45,0.9,0.52,5
24,0.45,0.9,0.57,4
48,0.1,0.6,0.02,1000
48,0.1,0.6,0.07,1000
48,0.1,0.6,0.12,1000
48,0.1,0.6,0.17,1000
48,0.1,0.6,0.22,1000
48,0.1,0.6,0.27,1000
48,0.1,0.6,0.32,1000
48,0.1,0.6,0.37,1000
48,0.1,0.6,0.42,1000
48,0.1,0.6,0.47,1000
48,0.1,0.6,0.52,1000
48,0.1,0.6,0.57,1000
48,0.1,0.65,0.02,1000
48,0.1,0.65,0.07,1000
48,0.1,0.65,0.12,1000
48,0.1,0.65,0.17,1000
48,0.1,0.65,0.22,1000
48,0.1,0.65,0.27,1000
48,0.1,0.65,0.32,1000
48,0.1,0.65,0.37,1000
48,0.1,0.65,0.42,1000
48,0.1,0.65,0.47,1000
48,0.1,0.65,0.52,1000
48,0.1,0.65,0.57,1000
48,0.1,0.7,0.02,1000
48,0.1,0.7,0.07,1000
48,0.1,0.7,0.12,1000
48,0.1,0.7,0.17,1000
48,0.1,0.7,0.22,1000
48,0.1,0.7,0.27,1000
48,0.1,0.7,0.32,1000
48,0.1,0.7,0.37,1000
48,0.1,0.7,0.42,1000
48,0.1,0.7,0.47,1000
48,0.1,0.7,0.52,1000
48,0.1,0.7,0.57,1000
48,0.1,0.75,0.02,1000
48,0.1,0.75,0.07,1000
48,0.1,0.75,0.12,1000
48,0.1,0.75,0.17,1000
48,0.1,0.75,0.22,1000
48,0.1,0.75,0.27,1000
48,0.1,0.75,0.32,1000
48,0.1,0.75,0.37,1000
48,0.1,0.75,0.42,1000
48,0.1,0.75,0.47,1000
48,0.1,0.75,0.52,1000
48,0.1,0.75,0.57,1000
48,0.1,0.8,0.02,1000
48,0.1,0.8,0.07,1000
48,0.1,0.8,0.12,1000
48,0.1,0.8,0.17,1000
48,0.1,0.8,0.22,1000
48,0.1,0.8,0.27,1000
48,0.1,0.8,0.32,1000
48,0.1,0.8,0.37,1000
48,0.1,0.8,0.42,1000
48,0.1,0.8,0.47,1000
48,0.1,0.8,0.52,1000
48,0.1,0.8,0.57,1000
48,0.1,0.85,0.02,1000
48,0.1,0.85,0.07,1000
48,0.1,0.85,0.12,1000
48,0.1,0.85,0.17,1000
48,0.1,0.85,0.22,1000
48,0.1,0.85,0.27,1000
48,0.1,0.85,0.32,1000
48,0.1,0.85,0.37,1000
48,0.1,0.85,0.42,1000
48,0.1,0.85,0.47,1000
48,0.1,0.85,0.52,1000
48,0.1,0.85,0.57,1000
48,0.1,0.9,0.02,1000
48,0.1,0.9,0.07,1000
48,0.1,0.9,0.12,1000
48,0.1,0.9,0.17,1000
48,0.1,0.9,0.22,1000
48,0.1,0.9,0.27,1000
48,0.1,0.9,0.32,1000
48,0.1,0.9,0.37,1000
48,0.1,0.9,0.42,1000
48,0.1,0.9,0.47,1000
48,0.1,0.9,0.52,1000
48,0.1,0.9,0.57,1000
48,0.15,0.6,0.02,1000
48,0.15,0.6,0.07,1000
48,0.15,0.6,0.12,1000
48,0.15,0.6,0.17,1000
48,0.15,0.6,0.22,1000
48,0.15,0.6,0.27,1000
48,0.15,0.6,0.32,1000
48,0.15,0.6,0.37,1000
48,0.15,0.6,0.42,1000
48,0.15,0.6,0.47,1000
48,0.15,0.6,0.52,1000
48,0.15,0.6,0.57,1000
48,0.15,0.65,0.02,1000
48,0.15,0.65,0.07,1000
48,0.15,0.65,0.12,1000
48,0.15,0.65,0.17,1000
48,0.15,0.65,0.22,1000
48,0.15,0.65,0.27,1000
48,0.15,0.65,0.32,1000
48,0.15,0.65,0.37,1000
48,0.15,0.65,0.42,1000
48,0.15,0.65,0.47,1000
48,0.15,0.65,0.52,1000
48,0.15,0.65,0.57,1000
48,0.15,0.7,0.02,1000
48,0.15,0.7,0.07,1000
48,0.15,0.7,0.12,1000
48,0.15,0.7,0.17,1000
48,0.15,0.7,0.22,1000
48,0.15,0.7,0.27,1000
48,0.15,0.7,0.32,1000
48,0.15,0.7,0.37,1000
48,0.15,0.7,0.42,1000
48,0.15,0.7,0.47,1000
48,0.15,0.7,0.52,1000
48,0.15,0.7,0.57,1000
48,0.15,0.75,0.02,1000
48,0.15,0.75,0.07,1000
48,0.15,0.75,0.12,1000
48,0.15,0.75,0.17,1000
48,0.15,0.75,0.22,1000
48,0.15,0.75,0.27,1000
48,0.15,0.75,0.32,1000
48,0.15,0.75,0.37,1000
48,0.15,0.75,0.42,1000
48,0.15,0.75,0.47,1000
48,0.15,0.75,0.52,1000
48,0.15,0.75,0.57,1000
48,0.15,0.8,0.02,1000
48,0.15,0.8,0.07,1000
48,0.15,0.8,0.12,1000
48,0.15,0.8,0.17,1000
48,0.15,0.8,0.22,1000
48,0.15,0.8,0.27,1000
48,0.15,0.8,0.32,1000
48,0.15,0.8,0.37,1000
48,0.15,0.8,0.42,1000
48,0.15,0.8,0.47,1000
48,0.15,0.8,0.52,1000
48,0.15,0.8,0.57,1000
48,0.15,0.85,0.02,1000
48,0.15,0.85,0.07,1000
48,0.15,0.85,0.12,1000
48,0.15,0.85,0.17,1000
48,0.15,0.85,0.22,1000
48,0.15,0.85,0.27,1000
48,0.15,0.85,0.32,1000
48,0.15,0.85,0.37,1000
48,0.15,0.85,0.42,1000
48,0.15,0.85,0.47,1000
48,0.15,0.85,0.52,1000
48,0.15,0.85,0.57,1000
48,0.15,0.9,0.02,1000
48,0.15,0.9,0.07,1000
48,0.15,0.9,0.12,1000
48,0.15,0.9,0.17,1000
48,0.15,0.9,0.22,1000
48,0.15,0.9,0.27,1000
